date,trips,avg_distance,avg_total,avg_tip,pct_tipped
2023-01-01,15019,4.660410812970238,32.32779545908516,3.8205619548571805,0.7321392902323723
2023-01-02,11813,5.293024633877931,34.552315245915516,3.9605400829594517,0.7131973249809532
2023-01-03,12091,5.030564882970805,34.5913663055165,3.884519890827889,0.7057315358531139
2023-01-04,12927,4.475188365436683,32.32484335112555,3.7292078595188367,0.7224414017173358
2023-01-05,13759,4.154600625045425,30.865052692782907,3.6347786903117956,0.7453303292390435
2023-01-06,15626,3.7311468066043774,29.11814219889927,3.4686861640854985,0.7621272238576731
2023-01-07,19567,3.4305192415802117,26.611419226248277,3.315495477078755,0.7920478356416415
2023-01-08,14575,4.209797598627787,29.61026140651801,3.632726586620926,0.77852487135506
2023-01-09,10933,4.481919875605964,32.15568096588311,3.7945367236806,0.7454495563889143
2023-01-10,12155,3.825693130399013,29.483883998354585,3.538980666392431,0.7554915672562731
2023-01-11,12764,3.7411994672516453,29.068705734879348,3.540513945471639,0.7633970542149796
2023-01-12,13708,3.9819047271666177,30.857584622118473,3.7805938138313393,0.7772833381966735
2023-02-01,12229,3.588952489982828,28.686363562024695,3.506599885518031,0.7790497996565541
2023-02-02,13295,3.6540112824370063,29.354013538924406,3.652827378713802,0.7816472358029334
2023-02-03,15625,3.4564838399999998,28.24442496,3.50256576,0.781632
2023-02-04,16881,3.107189739944316,25.55219832948285,3.214699366151294,0.7960428884544755
2023-02-05,13626,4.094293262879789,29.591219726992517,3.677694848084544,0.7874651401731984
2023-02-06,11287,4.333670594489235,31.78920971028617,3.8546504828563837,0.7533445556835298
2023-02-07,11864,3.6745625421443022,29.13519217801753,3.5775286581254218,0.7778152393796359
2023-02-08,12676,3.6566503628905016,29.26729646576207,3.6353226569895867,0.7772956768696749
2023-02-09,13791,3.8721252991081143,30.719414835762453,3.813561743165833,0.7840620694655935
2023-02-10,16623,3.6234506406785782,29.464004692293813,3.6498983336341215,0.7833724357817482
2023-02-11,20865,3.259508267433501,26.814250179726812,3.3281586388689193,0.7984184040258807
2023-02-12,15538,4.089902818895611,29.31113592482945,3.6009473548719266,0.7950830222679881
2023-03-01,13088,4.024588936430318,31.106922371638145,3.7528308374083132,0.7743734718826406
2023-03-02,14352,3.9502550167224078,31.034847408026756,3.798253205128205,0.7750836120401338
2023-03-03,16505,3.638110875492275,29.28126446531354,3.6112753710996666,0.7730990608906392
2023-03-04,19541,3.3734762806407046,26.939577810756873,3.363004452177473,0.792436415741262
2023-03-05,16003,4.136594388552147,29.996425045304004,3.7406136349434482,0.781291007936012
2023-03-06,11749,4.416998042386586,32.484200357477235,3.945030215337476,0.7501063920333645
2023-03-07,13424,3.6360808998808105,29.369910607866508,3.60592073897497,0.7671334922526818
2023-03-08,13894,3.8543162516194043,30.70332805527566,3.77246869152152,0.7711242262847272
2023-03-09,15057,3.888568771999734,31.00062562263399,3.8090741847645617,0.768878262602112
2023-03-10,17183,3.56268870395158,29.339406972007215,3.5963114706395856,0.7719257405575278
2023-03-11,19559,3.3775949690679483,26.80251086456363,3.3480627843959305,0.7908891047599571
2023-03-12,8495,4.010888758092996,29.11580576809888,3.599399646851089,0.7875220718069452
