date,dow,hour,trips,avg_total,avg_distance
2023-01-01,6,0,1204,26.488554817275748,3.12203488372093
2023-01-01,6,1,1250,26.919576,3.208072
2023-01-01,6,2,1066,25.871135084427767,3.1727392120075044
2023-01-01,6,3,694,25.525720461095098,3.274740634005764
2023-01-01,6,4,415,29.934,4.241493975903614
2023-01-01,6,5,184,36.116521739130434,5.709836956521738
2023-01-01,6,6,134,53.294402985074626,9.67634328358209
2023-01-01,6,7,133,49.25195488721805,8.82345864661654
2023-01-01,6,8,168,45.65577380952381,7.723154761904762
2023-01-01,6,9,256,33.21546875,5.3253515625
2023-01-01,6,10,464,35.5097198275862,5.643405172413793
2023-01-01,6,11,593,32.35849915682968,4.823389544688027
2023-01-01,6,12,748,31.205267379679146,4.504385026737968
2023-01-01,6,13,794,32.78125944584383,4.844269521410579
2023-01-01,6,14,877,35.7063511972634,5.389885974914481
2023-01-01,6,15,877,36.065541619156214,5.342611174458381
2023-01-01,6,16,829,35.305536791314836,5.186936067551267
2023-01-01,6,17,852,34.97597417840375,5.211971830985916
2023-01-01,6,18,686,31.143600583090375,4.215379008746356
2023-01-01,6,19,693,32.87623376623377,4.907965367965367
2023-01-01,6,20,612,33.61062091503268,4.88124183006536
2023-01-01,6,21,576,33.01916666666667,4.800121527777778
2023-01-01,6,22,523,37.995219885277244,6.139311663479924
2023-01-01,6,23,391,38.63923273657289,6.4595652173913045
2023-01-02,0,0,210,37.80057142857143,6.347761904761905
2023-01-02,0,1,134,37.346119402985074,6.354253731343284
2023-01-02,0,2,78,27.484871794871797,3.701923076923077
2023-01-02,0,3,70,45.86742857142857,7.607857142857142
2023-01-02,0,4,57,40.148421052631576,6.249122807017543
2023-01-02,0,5,63,66.99825396825398,11.253968253968255
2023-01-02,0,6,107,69.52822429906541,12.38747663551402
2023-01-02,0,7,157,50.901464968152865,9.422866242038218
2023-01-02,0,8,216,41.1662037037037,6.837453703703704
2023-01-02,0,9,381,38.46041994750656,6.128687664041995
2023-01-02,0,10,534,31.881254681647942,4.83247191011236
2023-01-02,0,11,634,31.581703470031545,4.771955835962145
2023-01-02,0,12,758,27.956477572559365,4.013680738786279
2023-01-02,0,13,888,32.24066441441441,4.794042792792792
2023-01-02,0,14,1005,34.88521393034826,5.390029850746268
2023-01-02,0,15,954,34.3890251572327,5.161457023060796
2023-01-02,0,16,961,35.59052029136316,5.370072840790844
2023-01-02,0,17,924,33.27090909090909,4.7945670995671
2023-01-02,0,18,764,31.47115183246073,4.553769633507853
2023-01-02,0,19,766,32.99215404699739,4.782506527415144
2023-01-02,0,20,669,33.71375186846039,5.079895366218236
2023-01-02,0,21,637,32.457755102040814,4.9258712715855575
2023-01-02,0,22,503,36.658469184890656,6.0469184890656065
2023-01-02,0,23,343,39.99650145772595,6.650583090379009
2023-01-03,1,0,200,46.867,8.33535
2023-01-03,1,1,113,50.3124778761062,9.213716814159293
2023-01-03,1,2,69,40.62347826086957,7.011159420289855
2023-01-03,1,3,46,47.63565217391304,8.998695652173913
2023-01-03,1,4,41,50.079756097560974,8.668780487804879
2023-01-03,1,5,74,53.46,9.559324324324324
2023-01-03,1,6,164,53.16207317073171,9.49609756097561
2023-01-03,1,7,310,32.97041935483871,5.040935483870968
2023-01-03,1,8,403,33.2727047146402,4.879528535980149
2023-01-03,1,9,447,34.40360178970917,5.155973154362416
2023-01-03,1,10,696,30.415316091954026,4.113534482758621
2023-01-03,1,11,729,29.82233196159122,3.865294924554184
2023-01-03,1,12,733,28.84174624829468,3.760682128240109
2023-01-03,1,13,798,32.53261904761904,4.653132832080201
2023-01-03,1,14,857,35.294504084014,5.252800466744457
2023-01-03,1,15,931,33.64689581095596,4.897604726100967
2023-01-03,1,16,925,38.85715675675676,5.407881081081081
2023-01-03,1,17,843,35.20455516014235,4.725646500593119
2023-01-03,1,18,862,33.230730858468675,4.297366589327146
2023-01-03,1,19,662,35.47663141993957,5.0826132930513594
2023-01-03,1,20,623,33.434285714285714,5.06792937399679
2023-01-03,1,21,654,32.4325993883792,4.683073394495413
2023-01-03,1,22,520,33.372326923076926,5.0507307692307695
2023-01-03,1,23,391,40.22038363171355,6.780613810741688
2023-01-04,2,0,254,46.95716535433071,8.29267716535433
2023-01-04,2,1,85,38.384235294117644,6.6530588235294115
2023-01-04,2,2,59,44.17881355932204,7.746779661016949
2023-01-04,2,3,33,36.18848484848485,5.853636363636364
2023-01-04,2,4,33,49.18121212121212,8.843333333333334
2023-01-04,2,5,61,42.880819672131146,7.821147540983606
2023-01-04,2,6,121,43.30504132231405,7.678677685950413
2023-01-04,2,7,355,37.86802816901408,5.989267605633803
2023-01-04,2,8,431,30.092343387470997,4.123642691415313
2023-01-04,2,9,435,33.032919540229884,4.726229885057471
2023-01-04,2,10,551,32.07671506352087,4.509600725952813
2023-01-04,2,11,594,27.663905723905724,3.4232996632996633
2023-01-04,2,12,753,28.62187250996016,3.728273572377158
2023-01-04,2,13,767,31.891551499348108,4.458526727509779
2023-01-04,2,14,856,32.79886682242991,4.625303738317757
2023-01-04,2,15,971,30.73295571575695,4.13778578784758
2023-01-04,2,16,1059,35.61055712936733,4.54801699716714
2023-01-04,2,17,987,32.477811550151976,3.909017223910841
2023-01-04,2,18,1018,28.86337917485265,3.339852652259332
2023-01-04,2,19,926,33.011252699784016,4.37292656587473
2023-01-04,2,20,728,29.89605769230769,4.283337912087912
2023-01-04,2,21,729,30.2458024691358,4.403621399176955
2023-01-04,2,22,662,30.676797583081573,4.425558912386706
2023-01-04,2,23,459,36.45856209150327,6.027908496732026
